domain,class
F0f0f0f0c0,1
"*y*y*y*Y,Y",1
"S,b,S*S,b,",1
"*y0Y.Y,y,y",1
",I,W*Z,F,S",1
i0i0i0i0i0,1
I0i0i0i0i0,1
0000y00000,1
F0a0,1
00y0000000,1
*y*y*y*y*h,1
00y0000000,1
0Y+Y*Y*y*H,1
0000000000,1
",Y*y+y*y*Y",1
Z*Z*z0Z*z*,1
0000000000,1
0i0i0F0F0f,1
f0f0f0,1
0000000000,1
0000000000,1
0000000Y*Y,1
0000000000,1
0000000000,1
0000000000,1
"Z,Z0000000",1
00G0000000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
000000000z,1
0000000a00,1
0000000000,1
.R00000000,1
000000000i,1
0r00000000,1
0000000000,1
0000000000,1
000000000r,1
0000000000,1
0y000y0Y*y,1
*Z*z000i00,1
0000000000,1
Y000y0Y000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
00000Y*y0y,1
0000000000,1
0y*Y+y*H*H,1
0y0y*y*Y*Y,1
0h0y*y*H0Y,1
000000000Z,1
y*y*y0y*H*,1
*H*y*Y000y,1
000Z.R0000,1
0000000000,1
0y*y*y*Y.Y,1
*Z0I0z*z*z,1
Y0H0h0Y*y*,1
*z*z*Z0000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
r000000000,1
f0f0f0f0f0,1
0f0f0f0f0a,1
f0f0f0f0f0,1
00u0000000,1
000000000W,1
0000000000,1
0f0f0f0f0f,1
0f0f0f0f0f,1
00000000S*,1
*y00H00y*y,1
*z*Z000z0z,1
*y*Y*Y*Y+Y,1
",w,S*S,f,S",1
f0f0f0f0f0,1
0000000000,1
f0f0f0f0i0,1
y0Y*Y*H*y*,1
"Z+z,Z0W*Z,",1
Y*y*Y00y0Y,1
*I*z*z0Z*Z,1
0000000000,1
Y0y*y*y00Y,1
*y0H0h0Y*y,1
0F0f0f0f0f,1
0Y*y0H0H0y,1
z0i0z00Z+Z,1
000g000000,1
"00Y*Y000Y,",1
0H*H0Y0000,1
y+y*Y0Y+y*,1
00z000I000,1
"0Y*Y,Y*H*y",1
0Z+Z0z*Z00,1
f0F0f0f0a0,1
y00Y.Y*Y*Y,1
0000000000,1
y000Y*y*y*,1
Z*z*Y0Z.Z*,1
F0f0a0,1
0f0f0f0f0f,1
f0f0f0f0f0,1
f0f0i0F0F0,1
0f0f0i0F0F,1
000000y00y,1
0y00000Y*y,1
"b,W00S,w,w",1
Y0y000y000,1
0Y*Y*y00y0,1
0000000000,1
0000000000,1
y*y00Y*y*y,1
"W,f,W*W,F,",1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
y*y*y*y0H0,1
*z0Z+z*z*z,1
Y*y*y0Y000,1
0000000000,1
0000000000,1
"*Z,Z*I*Z00",1
f0F0a0,1
f0F0a0,1
f0F0f0f0,1
a0,1
"00y*Y,Y*y*",1
00z*Z.Z0z*,1
*Z00000000,1
000Z*Z0000,1
Y000000000,1
Y*Y0y000y0,1
y*y00y0H0H,1
0000000000,1
f0a0,1
f0f0f0f0a0,1
"*y0H0Y,y,Y",1
00y*y0H0y*,1
0000000000,1
*Y+H+Y0y*Y,1
0000000000,1
f0f0f0,1
i0F0F0f0f0,1
0000000000,1
0000000000,1
Z000000000,1
0000000000,1
0000000000,1
00000y0000,1
F0f0f0f0f0,1
0000000000,1
0y00000000,1
*Y00000000,1
0000000000,1
0000000000,1
y0y*y0y0y0,1
*Z*z*z*z*Z,1
0000000000,1
"*y*Y+Y*Y,Y",1
0000000000,1
0f0f0f0f0f,1
0000000000,1
*y*y*H*y+y,1
0y*Y+H+y+Y,1
f0r00000,1
*Y00000000,1
Y+Y*y*y*y*,1
"*z0z*W,z,Z",1
Y000000Y*y,1
0Y+y*y*Y+Y,1
0000000000,1
0000000000,1
h000000000,1
00s0000000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
f0f0f0f0a0,1
0000000000,1
f0f0f0f0f0,1
*y0y0000y0,1
H*y00Y*y*y,1
y*y*y*H*y*,1
"+Y*y*y+Y,Y",1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
000000Z*i*,1
0000000y00,1
*z*z*I*Z0z,1
f0f0i0F0F0,1
f0f0f0f0,1
0000000000,1
0I0F0F0f0f,1
0000000000,1
0000000000,1
0Y*Y0H0y*y,1
000000Z000,1
f0f0f0f0f0,1
0000000000,1
000000,1
f0f0f0f0f0,1
0000000000,1
00000z0000,1
0y00y000H0,1
Z+Z0000000,1
0000000000,1
0000000000,1
0,1
0000000000,1
y0Y+Y0000y,1
z000000i00,1
"00Z,R*Z,R0",1
0000000000,1
0000000000,1
000000Z.Z*,1
0000000000,1
000000I000,1
0000000000,1
"00Z,R00r00",1
y*y*y*y*Y0,1
0000000000,1
0000000z00,1
x00X000000,1
0000000000,1
0000000000,1
0000000000,1
*Y+y+Y0Y00,1
0z00z00000,1
0000000000,1
0000000000,1
000000z000,1
0000000000,1
"b,b,b,b,b,",1
Z.R00Z.R00,1
H*,1
0000000W0f,1
000Y*Y00z0,1
000000,1
A0,1
F0f0f0a0,1
0000000000,1
*H*y*y0y*y,1
",S*S,b,S*S",1
*y*Y+Y0y*y,1
0000000000,1
Z.Z0000000,1
0000000000,1
00000,1
f0i0F0F0f0,1
0000000000,1
0000000000,1
Y*H*H*y*y*,1
0y00y00y*H,1
0000000000,1
0000000000,1
000S0s0000,1
0f0f0f0f0f,1
0f0f0f0i0F,1
F0F0f0F0f0,1
0y00H00H00,1
+Y00y0y0Y0,1
f0f0f0f0f0,1
"Y,Y*Y*h*h*",1
"Y,Y.Y*I*Y0",1
d0Z0000000,1
0000000000,1
0f0f0f0f0f,1
0f0f0f0f0f,1
y000Y*y*Y*,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
f0a0,1
000Y.Y0000,1
y*y*h*y*y*,1
0I00z*z0z0,1
0000000000,1
0000000000,1
000000000,1
"y*Y,Y*y*y+",1
z*z0Z+Z*I*,1
*y*y*y*H*y,1
0000000000,1
"G,g,X*X,G,",1
"Y*Y,Y*Y,Y*",1
"Y,G,X*g*g*",1
"u.D.U.u.U,",1
"U.U,u.u,U.",1
"u.U,U.u.U.",1
"U,u,u.u,u.",1
".U.d.u.U,u",1
",u.U,U.D.u",1
",U.u.u.d.D",1
.U.u.u.u.U,1
0000r00000,1
0Y+Y*y*y*Y,1
Z000z*Y+Y.,1
0000000000,1
0000000000,1
0000000000,1
i000000000,1
0000000000,1
0i0F0F0f0f,1
0000000000,1
h*y*y*Y0Y+,1
z000I000z0,1
000000u000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
0000y0H0H0,1
0000000000,1
y*y00y*Y+Y,1
y*y0y*y0Y+,1
0000000000,1
*H*Y000000,1
00000000Z*,1
000000000r,1
0000000000,1
0000z00z00,1
00y0000000,1
*Y0y*y*y*Y,1
00Z0000Z*Z,1
0000000000,1
0000000000,1
",Y*H*H*y0Y",1
",Y*y*Y*y*y",1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
H*y*y*Y+y+,1
"0000Y+y,v+",1
y00y000H00,1
000z0Z+Z*z,1
*y*y*H*y*Y,1
00000W*z+W,1
Y+Y*y*y+Y*,1
0000000000,1
0000000000,1
*y*Y*Y+Y*H,1
*w*z*z00w0,1
"y*Y,h,Y+y,",1
*y0y*y00y*,1
0000000000,1
*h*y*H*y*y,1
0000000000,1
0000000000,1
y00y*y*Y00,1
+Y0Y*Y00y0,1
0f0f0f0f0f,1
0000000000,1
F0f0f0,1
0000000000,1
0000000000,1
0000000000,1
0f0f0f0f0f,1
00g0000000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
000000000Y,1
0000000000,1
0000000000,1
a0,1
Y+Y*Y+,1
0000000000,1
"y*Y,Y*y*Y0",1
0000000000,1
00000Y*Y00,1
00x0x*X+Z0,1
H*y*y*Y+y*,1
"z*Z,Z*Z+Z*",1
0000000000,1
00000000S*,1
0000000000,1
H*y0Y*Y00y,1
",Y+y+y*y*G",1
00Y00y0000,1
*y*y+Y*y*h,1
*z*z*y*I*z,1
y*H*y*H*H*,1
0000000000,1
"0Y*Y000Y,Y",1
0000000000,1
0F0F0f0f0f,1
d0,1
000000g000,1
",b,b,b,b,b",1
",b,b,b,b,b",1
0000000000,1
"*Y,Z*Z+Z*z",1
0y*y0H0y0y,1
*z*I*z0Z00,1
y+Y*H*y*y+,1
z*z0I0z0I*,1
000000000Z,1
000000h000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
000Y*Z0000,1
0000000000,1
0Y*Y00Y*y*,1
0y00000000,1
*y*Y*y+Y*h,1
z*z*z*z*z*,1
00000000Y+,1
y00y000000,1
"*y+y+y*Y,Y",1
Y*Y*y*Y0Y*,1
F0f0f0d0,1
0Y*y*y*Y00,1
0Z*I*I*I*Z,1
0000000000,1
0000y00Y+Y,1
0000000000,1
0000000000,1
*y*y*y*y*Y,1
Z0z0z*z0Z+,1
*y*y0y0Y*Y,1
0000000000,1
Y0000000,1
f0i0F0F0f0,1
f0f0f0f0f0,1
0f0f0f0f0f,1
0000000000,1
0f0f0f0f0f,1
f0f0c0U000,1
0000000000,1
"000r00Z,Z.",1
00i0000000,1
y0y00Y*Y00,1
0000000000,1
0,1
0Z.R000000,1
0000000000,1
y*y*y*y*y*,1
*Z*z*i*I*z,1
0Y*Y0Y*y*y,1
*y*h*Y+Y*Y,1
0000000000,1
0000000000,1
0000000000,1
y*Y*y*H*y*,1
y0y*Y*H*y*,1
0000Z.Z*z+,1
f0f0f0f0f0,1
0000000000,1
Y00Y*y*y0y,1
0000000000,1
*y0Y*Y0y00,1
0Z*z*z0z*z,1
f0i0F0F0f0,1
00b0000000,1
F0a0,1
f0,1
D0,1
0000000000,1
000z00z000,1
0000000000,1
Y000000Y*Y,1
0Z+Z*Z+z*Z,1
0000s00000,1
f0f0i0F0F0,1
f0f0f0d0,1
F0,1
Z000000000,1
i0F0F0f0F0,1
0000000000,1
0000000000,1
f0f0f0f0f0,1
0f0f0f0f0f,1
0f0f0f0f0f,1
f0f0,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
0000000Y00,1
000Z*z00I0,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
0000000000,1
00x0000000,1
000Y*y+Y*y,1
"0Z*Y,V,z,Z",1
0000000000,1
*y*y0Y*Y0y,1
0000000000,1
0Y*Y000000,1
"Z*z*z*y*Y,",1
y*y*H*Y00y,1
z0000z0000,1
.S00s00000,1
*y*y+Y*y*H,1
"0S,b,S0S,b",1
0000000000,1
Y*Y0y*Y*s*,1
*y*y*y*y*Y,1
i*Z*z*Z00Z,1
0y00y0y00y,1
0000000000,1
*y*H*y*Y*y,1
0000000000,1
u.U0000000,1
0000000V00,1
*y*y*h*y*Y,1
I*z0z*i*z0,1
*y*y00H00Y,1
"b,S+S,b,S0",1
y*y*y0y*Y0,1
.Y*H*Y0000,1
b*,1
*H*y+y*Y+y,1
Z+I+z*z+Z*,1
00000U.U00,1
