domain,class
I0I*z*Z0I0,0
"+U.R,R.r.R.",0
F.,0
.F.Z.Z.z.Z.,0
Z.z.Z.I.Z+,0
w.X.W*W.X.,0
W*X.,0
x.W+W.X.X.X,0
W.w.X.,0
Z.Z.W.W*W.W,0
*W.W.W.w.W.,0
"X,W.W.w.X.X",0
z+Z.,0
F.,0
x.X+X.x.W*W,0
W.W.W.W.w.X,0
.W0W.W.W.W*,0
W0W.f.W.W.w,0
+W.W.Y*W.F.,0
y.,0
Z.Z.Z.z.z.Z,0
"Z.Z.Z,Z.I.Z",0
.Z+Z.Z.z.Z.,0
"+Z.I.z.Z,Z.",0
W.W.w.W.Z.,0
F.Z.W*w*w*W,0
.f.W*Z.W.W.,0
Z000,0
Z.z.I.I.,0
0I00,0
W.,0
"V.W,W.e.",0
i0i0,0
f0,0
Z*Z.,0
W.Z.Z+Z.z.z,0
W.F.F.,0
Z.Z.Z.Z.,0
W.W.,0
.Z.Z.z.I.Z.,0
W.,0
"Z.W*Z,W*Z.",0
"I.Z.Z.I.Z,",0
w.Z.,0
Z.I.I.Z.Z+Z,0
".I.Z*Z.i.Z,",0
I*,0
.z.z.Z*w0W.,0
Z.Z*z*,0
"Z,Z.I.Z00z*",0
0W.Z00,0
W.W.,0
00W.W.Z.Z*,0
"Z,Z.W00W.",0
X+,0
W.f.Z.Z*Z+,0
"W.w.W.Z,Z.z",0
".Z.W,W.w.Z.",0
0W.W.W.,0
I0,0
F.W*W.W.W*W,0
0z*i0,0
.z.i.Z+Z.I.,0
"X,",0
v.V.V.V.X.V,0
W.,0
I.i.z.Z+Z.Z,0
Z.I.,0
w.w.,0
"z.Z.z.Z,Z.Z",0
Z.Z.Z.Z.,0
Z.I.I.Z.,0
.Z.Z.z.Z.I.,0
"i.Z,Z.Z.Z,i",0
Z*,0
.g.g.g.g.g.,0
"X,g,x,x,",0
Z.z.Z.z.,0
Z*Z0,0
.Y*Y.y.Y.Y.,0
Z.i.I.Z*Z.Z,0
"I.z.z.Z,Z.Z",0
".Z,Z.Z.Z.Z.",0
*Z.z.Z.Z.z.,0
I.I.i.Z.,0
Z.I.,0
f0f0f0f0,0
z0i0i0i0f0,0
Z.I.i.i.Y00,0
Z00000W.,0
"z.Z.Z.z.Z,Z",0
r.A.a.A.A.a,0
X.X.X+X.x.x,0
Y00W.,0
.F.Z00Z.Z.W,0
Z.I.I.Z+Z.z,0
"X.X+X.X,x.",0
"0Z.Z,Z.Z+Z.",0
X.W00W.,0
Y00W.w.X.X+,0
"X.X00X.X,X.",0
*Z.Z.I.I.I.,0
Z.z.I.Z.Z*Z,0
i.w.W.w.Z*Z,0
W0Y.,0
z*z*z*z*Z0z,0
z0Z+Z*z*Y+,0
z00I00,0
Z+z*z*I*z*z,0
