State,class
990I0I*z*Z0,Normal-Jist
.R.r.r.r.r.,Normal-Jist
96.F.,Normal-Jist
W.F.Z.Z.z.Z,Normal-Jist
.Z.z.Z.I.Z+,Normal-Jist
66.w.X.W*W.,Normal-Jist
67.W*X.,Normal-Jist
W.X.X.X*X.X,Normal-Jist
76*W.w.X.,Normal-Jist
Z.Z.Z.Z.W.W,Normal-Jist
Z.Z.z.I.I.W,Normal-Jist
.w.X.X+X.W*,Normal-Jist
"99,z+Z.",Normal-Jist
66.F.,Normal-Jist
.w.w.F.X.X.,Normal-Jist
".X.X.X.X,X.",Normal-Jist
.W.W.W*W.w.,Normal-Jist
W.W.W.W.Z.z,Normal-Jist
76.w.X+W.W.,Normal-Jist
85.y.,Normal-Jist
.Z.Z.z.z.Z.,Normal-Jist
.z.z.Z.Z.Z.,Normal-Jist
".Z.z.z.Z,Z.",Normal-Jist
.z.Z*Z.Z.Z.,Normal-Jist
"6,W.W.w.W.Z",Normal-Jist
.Z.W+W.W.W.,Normal-Jist
.W.W.f.w.w.,Normal-Jist
99*Z000,Normal-Jist
99.Z.z.I.I.,Normal-Jist
9900I00,Normal-Jist
66.W.,Normal-Jist
"55.V.W,W.e.",Normal-Jist
990i0i0,Normal-Jist
990f0,Normal-Jist
99.Z*Z.,Normal-Jist
"w.W.W.W,i,Y",Normal-Jist
96.W.F.F.,Normal-Jist
99.Z.Z.Z.Z.,Normal-Jist
96.W.W.,Normal-Jist
99.Z.Z.Z.z.,Normal-Jist
66.W.,Normal-Jist
".Z.W*Z,W*Z.",Normal-Jist
9.I.Z.Z.I.Z,Normal-Jist
66.w.Z.,Normal-Jist
Z.I.I.Z.Z+Z,Normal-Jist
"I.Z*Z.i.Z,Z",Normal-Jist
990I*,Normal-Jist
99.Z.z.z.Z*,Normal-Jist
79.Z.Z*z*,Normal-Jist
"9.Z,Z.I.Z00",Normal-Jist
9600W.Z00,Normal-Jist
96*W.W.,Normal-Jist
66000W.W.Z.,Normal-Jist
"79.Z,Z.W00W",Normal-Jist
97*X+,Normal-Jist
6*W.f.Z.Z*Z,Normal-Jist
".Z,Z.z.i.z.",Normal-Jist
.Z+W*W.W.Z.,Normal-Jist
9600W.W.W.,Normal-Jist
990I0,Normal-Jist
.W*W.F.W*W.,Normal-Jist
9900z*i0,Normal-Jist
Z.i.z.i.Z+Z,Normal-Jist
"77.X,",Normal-Jist
5.v.V.V.V.X,Normal-Jist
66.W.,Normal-Jist
z.Z+Z.Z.Z*Z,Normal-Jist
99.Z.I.,Normal-Jist
66.w.w.,Normal-Jist
"Z.z.Z,Z.Z.Z",Normal-Jist
99.Z.Z.Z.Z.,Normal-Jist
99.Z.I.I.Z.,Normal-Jist
.Z.Z.z.Z.I.,Normal-Jist
F.F.f.f.Z.Z,Normal-Jist
88+Z*,Normal-Jist
.G.g.g.g.g.,Normal-Jist
"77+X,g,x,x,",Normal-Jist
99.Z.z.Z.z.,Normal-Jist
96.Z*Z0,Normal-Jist
X.Y*Y.y.Y.Y,Normal-Jist
.Z0Z.Z.I.I.,Normal-Jist
*Z.I.I.z.z.,Normal-Jist
"Z,Z.Z.Z.Z.Z",Normal-Jist
.Z.Z.z.i.I.,Normal-Jist
99.I.I.i.Z.,Normal-Jist
99.Z.I.,Normal-Jist
660f0f0f0f0,Normal-UDP-NTP-server
9*z0i0i0i0f,Normal-UDP-NTP-server
.Y00000Y.Z.,Normal-Grill
69.Z00000W.,Normal-Grill
".z.Z,Z.z.i.",Normal-Grill
".b.b.R,R.R.",Normal-Grill
X.X+X.x.x.X,Normal-Grill
68.Y00W.,Normal-Grill
.F.Z00Z.Z.W,Normal-Grill
+Z.z.I.Z.Z.,Normal-Grill
"60X.X+X.X,x",Normal-Grill
"6.W00Z.Z,Z.",Normal-Grill
87.X.W00W.,Normal-Grill
W.w.X.X+X.X,Normal-Grill
"X.X00X.X,X.",Normal-Grill
9600Z*Z.Z.I,Normal-Grill
"Z.I.Z,Z.Z.Z",Normal-Grill
Z.Z.Z.Z.Z*Z,Normal-Grill
86.W0Y.,Normal-Grill
*z*z*z*Z0z*,Normal-Grill
99*z0Z+Z*z*,Normal-Grill
99*z00I00,Normal-Grill
9*Z+Z*Z+z*z,Normal-Grill
",Y+Y.Y+Y.Y.",Normal-Grill
*y+y+y*y+h+,Normal-Grill
h+H+y*y+y*y,Normal-Grill
99+Z0W.,Normal-Grill
990z*z0Z*,Normal-Grill
9900z*,Normal-Grill
96.Z0,Normal-Grill
96.Z*z0,Normal-Grill
98*Z0Z*,Normal-Grill
z*Z+Z*z*I*z,Normal-Grill
9*z*Z00Z*z*,Normal-Grill
"9*Y0Y,Z00Z+",Normal-Grill
H*H+H+y+H+H,Normal-Grill
96.z.,Normal-Grill
.Z*W.W.W.W.,Normal-Grill
990i0i0i0i0,Normal-Grill
9900000,Normal-Grill
8.y.y.Y.w.W,Normal-Grill
98.Y.y.H.z.,Normal-Grill
.w.w.W00W.W,Normal-Grill
60Y.w.F.F.f,Normal-Grill
".Z.W,W.w.w.",Normal-Grill
"Y.Y.y.Y,Y.y",Normal-Grill
".F.F.W,W.w.",Normal-Grill
9900z0,Normal-Grill
0Z.z.Z.Z.i.,Normal-Grill
.Z.Z.i.I.I.,Normal-Grill
.W.W.W.w.Z*,Normal-Grill
X.X.H.X.x.Y,Normal-Grill
"Y.y.Z,Y.y.Z",Normal-Grill
880h0h0h0i0,Normal-Grill
W.Z+z*W.W.w,Normal-Grill
z*I*I*z*w0Z,Normal-Grill
0i0i0i0i0f0,Normal-Grill
88.H.y.,Normal-Grill
9900I00,Normal-Grill
.Z.z.i.Z.Z*,Normal-Grill
9900z00,Normal-Grill
990Z.Z0,Normal-Grill
"990Z,Z*",Normal-Grill
98*Y.h.w.Y*,Normal-Grill
.w.Z*Z.Z.I.,Normal-Grill
990z00,Normal-Grill
"Z,W*Z.Z0Z*Z",Normal-Grill
"99,Z.I.i.I.",Normal-Grill
z*z00Z.Z.z.,Normal-Grill
9900z*Z.Z.Z,Normal-Grill
00Z.Z.Z.Z.Z,Normal-Grill
99*z*z0,Normal-Grill
W.Z00Z.Z.z.,Normal-Grill
99.z.Z00,Normal-Grill
X*Z.Z*z*z*W,Normal-Grill
990z*z0,Normal-Grill
9*Z0W.Z*z0Z,Normal-Grill
99*Z.Z.Z000,Normal-Grill
88.z.Z*z*z*,Normal-Grill
.z.Z.z.Z.Z.,Normal-Grill
99*z*Z*,Normal-Grill
".Z,Z*W.Z0z0",Normal-Grill
8.Y*Z.Z0Z.W,Normal-Grill
990Z*,Normal-Grill
66.W.Z00W*W,Normal-Grill
9900000Z*,Normal-Grill
90i0i0i0i0i,Normal-Grill
9900W*W.w.Z,Normal-Grill
990Z.,Normal-Grill
0Z.Z.Z*z*z*,Normal-Grill
W+W.W+W.W*W,Normal-Grill
99.F.,Normal-Grill
99.z.,Normal-Grill
990i0i0i0i0,Normal-Grill
66.w.F.f.i.,Normal-Grill
88.Y.Y0y00,Normal-Grill
"8.Y0Y,Y*Y,Y",Normal-Grill
Z.Z0W.W.W.W,Normal-Grill
8.I.Z.z.y.W,Normal-Grill
96.Z00W.,Normal-Grill
"86.Y,X00",Normal-Grill
99.i.Z00Z.Y,Normal-Grill
88.Y.y.Y.H.,Normal-Grill
68.W.,Normal-Grill
.Z.z.W00W.W,Normal-Grill
Z00Z.z.I.i.,Normal-Grill
69.W00W.Z+,Normal-Grill
"86.Y+X,",Normal-Grill
99.W.F.W.w.,Normal-Grill
"x+X,X.X+X00",Normal-Grill
X.x.V00V.v.,Normal-Grill
58.X+X00,Normal-Grill
66.F.,Normal-Grill
99.z.Z.,Normal-Grill
99.Z.Z.Z.Z.,Normal-Grill
w.Y.W.W.W.F,Normal-Grill
67.W.Y.W.W.,Normal-Grill
99.Z.Z.Z.z.,Normal-Grill
".Y00Y,Y.Y+Y",Normal-Grill
99.Z.i.I.I.,Normal-Grill
y+W.H.w.w.F,Normal-Grill
.y.Y.Y.y.y.,Normal-Grill
".W.W.Y,Y.Y.",Normal-Grill
89.Z.z.,Normal-Grill
99.Z.,Normal-Grill
".X,X.Y,W.W.",Normal-Grill
99.Z.z.z.z.,Normal-Grill
+I+I+I+i+I+,Normal-Grill
89.z.w.W.W.,Normal-Grill
86.W.,Normal-Grill
21*S0s0,Botnet-TCP-Attempt-SPAM
22*s0,Botnet-TCP-Attempt-SPAM
14*V0,Botnet-UDP-DNS
11*W00,Botnet-UDP-DNS
"22,W*W.",Botnet-TCP-Attempt-SPAM
66*u*r0U+,Botnet-UDP-DNS
21*s*s*s0,Botnet-TCP-Attempt-SPAM
1200S*,Botnet-TCP-Attempt-SPAM
21*B0s*,Botnet-TCP-Attempt-SPAM
55+S*s0,Botnet-TCP-Attempt-SPAM
2200s*,Botnet-TCP-Attempt-SPAM
22*r*b*,Botnet-TCP-Attempt-SPAM
22*s0B0,Botnet-TCP-Attempt-SPAM
5500V*v0,Botnet-TCP-Attempt-SPAM
120s*,Botnet-TCP-Attempt-SPAM
22+s+,Botnet-TCP-Attempt-SPAM
22*s0S*,Botnet-TCP-Attempt-SPAM
12*s0S*,Botnet-TCP-Attempt-SPAM
12*s*s*S+s*,Botnet-TCP-Attempt-SPAM
12*B*s0,Botnet-TCP-Attempt-SPAM
25*V00,Botnet-TCP-Attempt-SPAM
120S*,Botnet-TCP-Attempt-SPAM
21*S000,Botnet-TCP-Attempt-SPAM
21*v*V00,Botnet-TCP-Attempt-SPAM
550s0,Botnet-TCP-Attempt-SPAM
25*v+,Botnet-TCP-Attempt-SPAM
220s*S0,Botnet-TCP-Attempt-SPAM
22*s*,Botnet-TCP-Attempt-SPAM
2*S+S*A*S00,Botnet-TCP-Attempt-SPAM
120s0,Botnet-TCP-Attempt-SPAM
22*S000,Botnet-TCP-Attempt-SPAM
22000s*,Botnet-TCP-Attempt-SPAM
22*s0S*,Botnet-TCP-Attempt-SPAM
52*s*S00,Botnet-TCP-Attempt-SPAM
55*V0,Botnet-TCP-Attempt-SPAM
21*s00S*,Botnet-TCP-Attempt-SPAM
"22,S+",Botnet-TCP-Attempt-SPAM
12*S000,Botnet-TCP-Attempt-SPAM
220B*b*s*,Botnet-TCP-Attempt-SPAM
21*B*,Botnet-TCP-Attempt-SPAM
22000S*,Botnet-TCP-Attempt-SPAM
"*B*S+S*s+s,",Botnet-TCP-Attempt-SPAM
22*s0S*S0s*,Botnet-TCP-Attempt-SPAM
22*s00s*,Botnet-TCP-Attempt-SPAM
120s00,Botnet-TCP-Attempt-SPAM
22000S+,Botnet-TCP-Attempt-SPAM
"22+s,",Botnet-TCP-Attempt-SPAM
22*S0S*s*,Botnet-TCP-Attempt-SPAM
5.Z0Z+Z0Z.Z,Botnet-UDP-DNS
5.Z0Z+Z0Z*Z,Botnet-UDP-DNS
22000,Botnet-TCP-Attempt-SPAM
22*s*,Botnet-TCP-Attempt-SPAM
"*z*Z*Z.Z*Z,",Botnet-UDP-DNS
22*s*,Botnet-TCP-Attempt-SPAM
55000,Botnet-TCP-Attempt-SPAM
22*S00,Botnet-TCP-Attempt-SPAM
66*R00,Botnet-UDP-DNS
61*A*r0,Botnet-UDP-DNS
610R+W0,Botnet-UDP-DNS
22*s00S*B*s,Botnet-TCP-Attempt-SPAM
22*B*B*,Botnet-TCP-Attempt-SPAM
22*B*s*s*B*,Botnet-TCP-Attempt-SPAM
"S,s,S+S,S*S",Botnet-TCP-Attempt-SPAM
2200S*,Botnet-TCP-Attempt-SPAM
2*s+T*b*s00,Botnet-TCP-Attempt-SPAM
22*S00s*,Botnet-TCP-Attempt-SPAM
220s0s*s*s*,Botnet-TCP-Attempt-SPAM
22+S*s0s*S+,Botnet-TCP-Attempt-SPAM
22*s00,Botnet-TCP-Attempt-SPAM
22*S0S*,Botnet-TCP-Attempt-SPAM
22*s*s0,Botnet-TCP-Attempt-SPAM
22*s*,Botnet-TCP-Attempt-SPAM
22000,Botnet-TCP-Attempt-SPAM
"z+w,w+y,w,z",Botnet-TCP-Attempt-SPAM
",Z+Z.W,W.S+",Botnet-TCP-CC-HTTP-Not-Encrypted
99*Z00,Botnet-UDP-Attempt-DNS
96*Z00Z+,Botnet-UDP-Attempt-DNS
E+E+E+v*v*v,Botnet-TCP-Established
220s0,Botnet-UDP-DNS
22.S*S.S*,Botnet-TCP-Attempt-SPAM
95+V00,Botnet-UDP-DNS
99*S00,Botnet-UDP-DNS
55000V*,Botnet-UDP-DNS
22*s*,Botnet-TCP-Attempt-SPAM
12*R0,Botnet-UDP-Attempt-DNS
"Y,Y,H,Y+y,Y",Botnet-TCP-Established-HTTP-Ad
"22,S*S.S*S.",Botnet-TCP-Attempt-SPAM
"22,S*S,S*S.",Botnet-TCP-Attempt-SPAM
",Y,y,y,Y0Y,",Botnet-TCP-Attempt-SPAM
"y*Y,Y+Y.s,Y",Botnet-TCP-Established-HTTP-Ad
22*S00,Botnet-TCP-Attempt-SPAM
22000,Botnet-TCP-Attempt-SPAM
15*V*V0E0,Botnet-TCP-Attempt-SPAM
"22*S,S*s0",Botnet-TCP-Attempt-SPAM
"22,W*S,S*",Botnet-TCP-Attempt-SPAM
44*r0,Botnet-UDP-DNS
S*w+s*S00W+,Botnet-TCP-Attempt-SPAM
99*W00R+,Botnet-UDP-DNS
22*B*F*B*,Botnet-TCP-Attempt-SPAM
55*v*v00,Botnet-TCP-Attempt-SPAM
92*U0U*,Botnet-UDP-DNS
"22,S*S,S*",Botnet-TCP-Attempt-SPAM
99+Z0Z+Z0Z+,Botnet-UDP-Attempt-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
46+U00,Botnet-UDP-DNS
22+S*s+s*s+,Botnet-TCP-Attempt-SPAM
55000,Botnet-TCP-Attempt-SPAM
55*v00,Botnet-TCP-Attempt-SPAM
0S+s*s*s*B*,Botnet-TCP-Attempt-SPAM
21*s*,Botnet-TCP-Attempt-SPAM
22*s0,Botnet-TCP-Attempt-SPAM
22000,Botnet-TCP-Attempt-SPAM
21*S00s0s*,Botnet-TCP-Attempt-SPAM
55+i+Z0i0i0,Botnet-TCP-Established
22*S00,Botnet-TCP-Attempt-SPAM
220B0,Botnet-TCP-Attempt-SPAM
22000,Botnet-TCP-Attempt-SPAM
22*S000,Botnet-TCP-Attempt-SPAM
21*s0,Botnet-TCP-Attempt-SPAM
22*R000,Botnet-TCP-Attempt-SPAM
26+s*s*,Botnet-TCP-Attempt-SPAM
22*B*,Botnet-TCP-Attempt-SPAM
66*I*v0,Botnet-UDP-DNS
22*S000S*,Botnet-TCP-Attempt-SPAM
"22.S,S,",Botnet-TCP-Attempt-SPAM
"62,W*",Botnet-TCP-Attempt-SPAM
26.S+s+,Botnet-TCP-Attempt-SPAM
56*U00,Botnet-UDP-DNS
"66*W00R,",Botnet-UDP-Attempt-DNS
"66*W00R,",Botnet-UDP-DNS
22.S*W.S*,Botnet-TCP-Attempt-SPAM
62.S*,Botnet-TCP-Attempt-SPAM
"22.S*S,S*S.",Botnet-TCP-Attempt-SPAM
22.W*W.,Botnet-TCP-Attempt-SPAM
96*Z0,Botnet-UDP-DNS
96*w0,Botnet-UDP-DNS
22*B*,Botnet-TCP-Attempt-SPAM
22*B*,Botnet-TCP-Attempt-SPAM
55+V*E*,Botnet-TCP-Attempt-SPAM
64*u00,Botnet-UDP-DNS
99*v00,Botnet-UDP-DNS
"22,W*S,S*",Botnet-TCP-Attempt-SPAM
22+S0,Botnet-TCP-Attempt-SPAM
22*s*,Botnet-TCP-Attempt-SPAM
12000,Botnet-TCP-Attempt-SPAM
22*S*S*,Botnet-TCP-Attempt-SPAM
99+Z0y*Z0Z+,Botnet-UDP-DNS
99+Z0Z.Z0Z*,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
99+Z0Z.Z0Z+,Botnet-UDP-Attempt-DNS
99+Z0Z.Z0Z+,Botnet-UDP-DNS
