src,dst,port,proto,State,label,class,modelsize
147.32.84.134,147.32.192.34,993.0,tcp,I*z*Z0I0,Normal-Jist,normal,13
147.32.84.134,147.32.80.9,53.0,udp,"R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.W.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.W.R.R.R.R.R.R.R.R.R.R.W.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.a.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.a.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.a.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.U.U.U.U.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R.R,R.D.U.U.D.u.u.D.u.u.D.R+R.",Normal-Jist,normal,4879
147.32.84.134,173.194.16.96,80.0,tcp,,Normal-Jist,normal,5
147.32.84.134,193.41.230.73,80.0,tcp,z.W.W.Z.Z.I.Z.Z.Z.Z.Z+W.F.Z.Z.z.Z.z.,Normal-Jist,normal,41
147.32.84.134,193.41.230.85,443.0,tcp,z.Z.I.Z+,Normal-Jist,normal,13
147.32.84.134,194.79.52.192,80.0,tcp,X.W*W.X.,Normal-Jist,normal,13
147.32.84.134,194.79.52.193,80.0,tcp,X.,Normal-Jist,normal,7
147.32.84.134,194.79.52.194,80.0,tcp,W+W.X.X.X*X.X.,Normal-Jist,normal,19
147.32.84.134,194.79.52.195,80.0,tcp,w.X.,Normal-Jist,normal,9
147.32.84.134,194.79.52.196,80.0,tcp,W.Z.Z.Z.Z.W.W*W.W.W.w.Z.z.W.,Normal-Jist,normal,33
147.32.84.134,194.79.52.199,80.0,tcp,"W.W.w.w.w.w.W.W.W.Z.Z.Z.Z.Z.z.Z.I.z.z.W,W.f.Z+Z.z.Z.Z.z.I.Z.Z.z.I.I.W*W.W.W.w.W.W.W.W.W.W.W.Z.z.Z.z.Z,Z.z.w.",Normal-Jist,normal,113
147.32.84.134,194.79.52.204,80.0,tcp,"W.X,W.W.w.X.X+X.W*W.w.W,X.",Normal-Jist,normal,31
